,周数,中位数,众数,移动平均值,实际收益值
0,0,0.04132326538479379,-0.025075987841945292,0.03262176762551326,0.005524861878453061
1,1,0.04132326538479379,-0.025075987841945292,0.031876956516061275,-0.1687598116169545
2,2,0.028534319386262767,-0.1687598116169545,0.01158582060516625,-0.12086874409820579
3,3,0.007049258686693383,-0.1687598116169545,-0.006177008397017604,0.041890440386680855
4,4,0.007049258686693383,-0.1687598116169545,-0.008237964358349524,0.016494845360824757
5,5,0.007049258686693383,-0.1687598116169545,-0.016514950410502337,0.06490872210953352
6,6,0.007049258686693383,-0.1687598116169545,-0.014873576527308169,-0.010476190476190422
7,7,-0.0024756642988686805,-0.1687598116169545,-0.020865374203316377,-0.02598652550529368
8,8,-0.0024756642988686805,-0.1687598116169545,-0.020956427969651213,-0.043478260869565175
9,9,-0.015670861853242027,-0.1687598116169545,-0.0261616196061011,0.026859504132231385
10,10,-0.0024756642988686805,-0.1687598116169545,-0.021389115869848603,0.07243460764587532
11,11,0.0030093274423171673,-0.1687598116169545,-0.01469814129310637,0.04409005628517829
12,12,0.02167717474652807,-0.12086874409820579,0.006586845497106905,0.060197663971248865
13,13,0.03437497225945612,-0.043478260869565175,0.024693486304052374,0.0211864406779661
14,14,0.024022972405098743,-0.043478260869565175,0.022623086333180897,0.032365145228215667
15,15,0.029612324680223526,-0.043478260869565175,0.02421011631991999,-0.016881028938906677
16,16,0.024022972405098743,-0.043478260869565175,0.01603114121507597,0.04170073589533931
17,17,0.029612324680223526,-0.043478260869565175,0.021248833852228942,0.09890109890109888
18,18,0.037032940561777486,-0.043478260869565175,0.0337375962928682,-0.01000000000000004
19,19,0.037032940561777486,-0.016881028938906677,0.03708542237982471,-0.052669552669552575
20,20,0.037032940561777486,-0.052669552669552575,0.029132516699646317,-0.0022848438690023713
21,21,0.026775792953090884,-0.052669552669552575,0.021660571548158543,0.14198473282442758
22,22,0.026775792953090884,-0.052669552669552575,0.03145003920208348,-0.012700534759358374
23,23,0.009450798404481865,-0.052669552669552575,0.02416021932902275,0.06093432633716996
24,24,0.015040150679606647,-0.052669552669552575,0.028135007894943137,0.009572431397575007
25,25,0.0036437937642863176,-0.052669552669552575,0.025855736511879075,0.058786346396965845
26,26,0.02563658364645716,-0.052669552669552575,0.033422474045466326,0.08358208955223873
27,27,0.03417938889727043,-0.052669552669552575,0.037610609411156265,-0.019834710743801623
28,28,0.0036437937642863176,-0.052669552669552575,0.025737028446666217,-0.05564924114671155
29,29,0.0036437937642863176,-0.05564924114671155,0.021172104331995067,-0.007142857142857202
30,30,0.0036437937642863176,-0.05564924114671155,0.025724773884664598,-0.02997601918465228
31,31,0.0012147871273589027,-0.05564924114671155,0.02295565635309961,0.06180469715698393
32,32,0.0012147871273589027,-0.05564924114671155,0.014937652786355244,-0.012805587892898653
33,33,0.0012147871273589027,-0.05564924114671155,0.014927147473001218,-0.05778301886792455
34,34,-0.009974222517877928,-0.05778301886792455,0.0030554129524917686,-0.0025031289111389814
35,35,-0.009974222517877928,-0.05778301886792455,0.0018478569216203657,-0.027603513174403984
36,36,-0.016320149318350137,-0.05778301886792455,-0.006791129035516616,-0.024516129032258114
37,37,-0.022175419888029867,-0.05778301886792455,-0.017600950893966297,0.07605820105820109
38,38,-0.018660858462578384,-0.05778301886792455,-0.008011659713766026,0.004917025199754263
39,39,-0.009974222517877928,-0.05778301886792455,-0.0019550330791194472,0.05259938837920485
40,40,-0.0076543584020188175,-0.05778301886792455,0.004019191473086758,-0.015688553166763482
41,41,-0.0076543584020188175,-0.05778301886792455,0.005447938074875637,0.04250295159386062
42,42,-0.0076543584020188175,-0.05778301886792455,0.0035177635185633035,-0.03454133635334085
43,43,-0.009095841038951231,-0.05778301886792455,0.0013441886725190852,0.024046920821114377
44,44,0.0012069481443076407,-0.03454133635334085,0.00952718264142298,-0.03264604810996565
45,45,-0.005385763983504609,-0.03454133635334085,0.006512890721540312,0.04203670811130852
46,46,0.01448197301043432,-0.03454133635334085,0.013476912850111562,-0.035795454545454686
47,47,0.01448197301043432,-0.035795454545454686,0.0123489802987919,0.08190925162050681
48,48,0.01448197301043432,-0.035795454545454686,0.012934085355022478,0.059912854030501166
49,49,0.03304181446621145,-0.035795454545454686,0.018433668238097167,-0.03494347379239464
50,50,0.0041791838271754474,-0.035795454545454686,0.009679382020937218,0.017571884984025468
51,51,0.020809402902569923,-0.035795454545454686,0.013005425836016113,0.03349031920460495
52,52,0.020809402902569923,-0.035795454545454686,0.012104162597090547,-0.04556962025316449
53,53,0.020809402902569923,-0.04556962025316449,0.011001334207108185,-0.01909814323607443
54,54,-0.0007631291260244803,-0.04556962025316449,0.0066868278013893,0.004867495943753373
55,55,0.01121969046388942,-0.04556962025316449,0.010438182206761206,-0.011840688912809412
56,56,-0.0034865964845280195,-0.04556962025316449,0.005050442504349412,0.04411764705882366
57,57,0.01121969046388942,-0.04556962025316449,0.013041752664777242,0.0912884715701617
58,58,0.01121969046388942,-0.04556962025316449,0.013979674659742735,0.07839388145315472
59,59,0.01121969046388942,-0.04556962025316449,0.01582777740200809,0.05718085106382991
60,60,0.02553110209431521,-0.04556962025316449,0.025040209887630543,0.004192872117400329
61,61,0.01917890757417916,-0.04556962025316449,0.02370230860096803,0.08475991649269315
62,62,0.024492571501288515,-0.04556962025316449,0.028829268329776853,-0.012317167051578148
63,63,0.024492571501288515,-0.01909814323607443,0.03215451364993548,-0.04208885424785666
64,64,0.024492571501288515,-0.04208885424785666,0.02985544254875726,0.03905614320585846
65,65,0.041586895132341054,-0.04208885424785666,0.033274307274967774,-0.005481597494126882
66,66,0.041586895132341054,-0.04208885424785666,0.03391021641683603,-0.007480314960629832
67,67,0.02162450766162939,-0.04208885424785666,0.028750420214890677,-0.08647362157873859
68,68,-0.0006443626883632764,-0.08647362157873859,0.010974210900000645,-0.0716456795484152
69,69,-0.006480956227378357,-0.08647362157873859,-0.004029745200156346,-0.009354536950420921
70,70,-0.008417425955525377,-0.08647362157873859,-0.010683284001581429,0.05099150141643068
71,71,-0.008417425955525377,-0.08647362157873859,-0.006003421071678393,0.019766397124887588
72,72,-0.008417425955525377,-0.08647362157873859,-0.01250277300845895,0.030837004405286313
73,73,-0.006480956227378357,-0.08647362157873859,-0.008187355862772505,0.058974358974359084
74,74,0.0071423998153803524,-0.08647362157873859,0.00191896545944907,-0.006860371267150996
75,75,-0.00617098438063894,-0.08647362157873859,-0.002672685987851876,0.013002844372206432
76,76,0.0030712365525277178,-0.08647362157873859,-0.0008242418012185445,-0.014039310068190992
77,77,0.0030712365525277178,-0.08647362157873859,-0.0014801413119746596,0.04027664768104158
78,78,0.01638462074854701,-0.0716456795484152,0.011194885614003357,0.047321079389910085
79,79,0.02530170076508695,-0.014039310068190992,0.023091561507835888,0.0974607916355489
80,80,0.035556826043163944,-0.014039310068190992,0.033773094366432874,0.12623341272541683
81,81,0.035556826043163944,-0.014039310068190992,0.041297285497331485,-0.020241691842900353
82,82,0.035556826043163944,-0.020241691842900353,0.037296476600552686,0.04841196423065064
83,83,0.04379886353547584,-0.020241691842900353,0.03905397258308912,-0.010294117647058865
84,84,0.026639746026624007,-0.020241691842900353,0.032127124920947325,-0.06300148588410097
85,85,0.026639746026624007,-0.06300148588410097,0.026513013459252326,0.0792895654931811
86,86,0.04379886353547584,-0.06300148588410097,0.03314168557134979,-0.04055245371730833
87,87,0.04379886353547584,-0.06300148588410097,0.030490371206438067,0.09249617151607974
88,88,0.047866521810280366,-0.06300148588410097,0.03571232358994188,0.08214185590131762
89,89,0.06385076486191588,-0.06300148588410097,0.03919440124108263,0.08341968911917096
90,90,0.06385076486191588,-0.06300148588410097,0.037790290989444836,-0.04495456719273081
91,91,0.019058923291795888,-0.06300148588410097,0.020671492997630072,-0.015773660490735992
92,92,0.019058923291795888,-0.06300148588410097,0.02111829613284651,0.12414143983719143
93,93,0.034497723923061115,-0.06300148588410097,0.02869124369350059,0.0638153428377461
94,94,0.0715524541654636,-0.06300148588410097,0.03610218974198108,0.07615400978515222
95,95,0.07772178763916665,-0.04495456719273081,0.05001773930890639,-0.06246293733939521
96,96,0.06998467631144917,-0.06246293733939521,0.03584248902564877,-0.13662239089184053
97,97,0.06998467631144917,-0.13662239089184053,0.02623549530819555,0.018803418803418705
98,98,0.04130938082058241,-0.13662239089184053,0.018866220036929452,0.12631831255992337
99,99,0.04130938082058241,-0.13662239089184053,0.02328386570279003,0.012343051713130417
100,100,0.015573235258274561,-0.13662239089184053,0.01617620196218597,-0.022703384486020564
101,101,0.015573235258274561,-0.13662239089184053,0.018401320232857,0.006668100666809963
102,102,0.015573235258274561,-0.13662239089184053,0.020645496348611587,0.01645299145299152
103,103,0.014398021583060968,-0.13662239089184053,0.009876651510191601,0.0037838974143367607
104,104,0.00950557618997019,-0.13662239089184053,0.0038735069678506664,0.06701570680628278
105,105,0.00950557618997019,-0.13662239089184053,0.002959676669963724,-0.01373895976447503
106,106,0.00950557618997019,-0.13662239089184053,0.00783207442745574,-0.15303482587064673
107,107,0.00950557618997019,-0.15303482587064673,0.006190830929575117,-0.019971804511278227
108,108,0.005225999040573362,-0.15303482587064673,0.002313308598105426,0.08055622152960919
109,109,0.005225999040573362,-0.15303482587064673,-0.0022629005049259925,0.020634568449079203
110,110,0.005225999040573362,-0.15303482587064673,-0.001433748831331113,-0.06413043478260876
111,111,0.005225999040573362,-0.15303482587064673,-0.005576453860989933,0.0311265969802556
112,112,0.01011844443366414,-0.15303482587064673,-0.0031306042296453686,0.03649470601486816
113,113,0.012209232931707982,-0.15303482587064673,-0.0011264327734577056,-0.0830254292545099
114,114,0.0034478043423020865,-0.15303482587064673,-0.009807365440342372,0.010191988622896414
115,115,-0.0017734855707893082,-0.15303482587064673,-0.01548973725868101,0.05349601126231819
116,116,0.015413278535987809,-0.15303482587064673,-0.008766240156001689,-0.01291759465478838
117,117,0.015413278535987809,-0.0830254292545099,0.005245482965584148,0.01601985559566789
118,118,0.018327212022373546,-0.0830254292545099,0.00884464897627876,-0.11081501221407955
119,119,0.013105922109282152,-0.11081501221407955,-0.010292474398090112,0.06343656343656341
120,120,0.013105922109282152,-0.11081501221407955,-0.006012274899341692,0.11766087364960087
121,121,0.023573226287961744,-0.11081501221407955,0.01216685594387927,0.029417944946417283
122,122,0.022718900271042584,-0.11081501221407955,0.011995990740495439,-0.032863849765258205
123,123,0.013105922109282152,-0.11081501221407955,0.005060135162482801,0.012030392570704944
124,124,0.014025124083186416,-0.11081501221407955,0.01456571734500429,0.060062565172054126
125,125,0.022718900271042584,-0.11081501221407955,0.01955277499992006,-0.013968129057643141
126,126,0.014025124083186416,-0.11081501221407955,0.012806360967923924,-0.010375099760574541
127,127,0.014025124083186416,-0.11081501221407955,0.01306061045734531,0.11350806451612894
128,128,0.020724168758561114,-0.11081501221407955,0.022809431349391413,-0.010682600036212138
129,129,0.020724168758561114,-0.032863849765258205,0.032822672567178156,0.02781844802342599
130,130,0.019924420297065468,-0.032863849765258205,0.02926086102586441,-0.004451566951566952
131,131,0.0037894128095689963,-0.032863849765258205,0.01704961696574763,-0.012877839384725432
132,132,-0.007413333356070747,-0.032863849765258205,0.01282003853263336,-0.0538140967566588
133,133,-0.007413333356070747,-0.0538140967566588,0.010725013833493299,0.016660283416315674
134,134,-0.007413333356070747,-0.0538140967566588,0.011188002918054375,-0.1115087587116218
135,135,-0.010528849898393339,-0.1115087587116218,-0.00596912947031322,-0.13122747509009974
136,136,-0.010528849898393339,-0.13122747509009974,-0.01769506407355888,0.06393362615910211
137,137,-0.007567083493889544,-0.13122747509009974,-0.010264191481591214,-0.13188073394495411
138,138,-0.011780219710468786,-0.13188073394495411,-0.03480307132769952,-0.010568031704095074
139,139,-0.011722935544410253,-0.13188073394495411,-0.03479161449448782,0.022963951935914537
140,140,-0.011722935544410253,-0.13188073394495411,-0.035277064103238956,0.06760636909423116
141,141,-0.011722935544410253,-0.13188073394495411,-0.028071270498659144,-0.20391198044009773
142,142,-0.03219106423037694,-0.20391198044009773,-0.047174684604196375,-0.055589680589680654
143,143,-0.03307885614688787,-0.20391198044009773,-0.04735224298749856,-0.0666666666666667
144,144,-0.061128173628173674,-0.20391198044009773,-0.0556849379957968,0.049477351916376366
145,145,-0.03307885614688787,-0.20391198044009773,-0.03958632693299698,-0.046812749003984064
146,146,-0.028690390354039568,-0.20391198044009773,-0.031144854324385417,0.0066179031696272286
147,147,-0.028690390354039568,-0.20391198044009773,-0.0368764266233329,-0.02802768166089961
148,148,-0.019297856682497342,-0.20391198044009773,-0.02649112139492745,0.07084371662513345
149,149,-0.01070488924563619,-0.20391198044009773,-0.018349946562004605,0.0585106382978724
150,150,-0.01070488924563619,-0.20391198044009773,-0.014795277925808814,0.02386934673366839
151,151,-0.01070488924563619,-0.20391198044009773,-0.0191689801618651,-0.04049079754601228
152,152,-0.01070488924563619,-0.0666666666666667,-0.002826861872456548,0.012468030690537103
153,153,0.009542966930082166,-0.0666666666666667,0.00397890925556523,-0.068834859488475
154,154,0.009542966930082166,-0.068834859488475,0.003762089973384397,-0.003730077992539825
155,155,0.0014439125885437017,-0.068834859488475,-0.0015586530175072213,0.06535057862491497
156,156,0.009542966930082166,-0.068834859488475,0.009657679745382683,-0.027476038338658127
157,157,0.004368976348998639,-0.068834859488475,0.0062482855945541465,-0.006241787122207664
158,158,0.004368976348998639,-0.068834859488475,0.00842687504842334,0.13950413223140493
159,159,0.004368976348998639,-0.068834859488475,0.015292916609050489,0.07890919640266895
160,160,0.004368976348998639,-0.068834859488475,0.017332772419530146,0.13713363807475132
161,161,0.004368976348998639,-0.068834859488475,0.028659201553638436,-0.05273114211397486
162,162,0.004368976348998639,-0.068834859488475,0.027435167096842183,0.052920619071392845
163,163,0.02459527053942651,-0.068834859488475,0.03148042593492776,0.0023707918444760886
164,164,0.027645705457934468,-0.05273114211397486,0.03860099106822286,0.06173131504257331
165,165,0.057325967056983076,-0.05273114211397486,0.04514713037173417,0.05569169079973268
166,166,0.05430615493556276,-0.05273114211397486,0.04418124158921595,-0.02152352817050017
167,167,0.05430615493556276,-0.05273114211397486,0.04477649260603174,-0.00043131334914807033
168,168,0.05430615493556276,-0.05273114211397486,0.0453575399833377,0.015965480043149988
169,169,0.03444304955727141,-0.05273114211397486,0.0330036747645122,0.07007857294542359
170,170,0.03444304955727141,-0.05273114211397486,0.03212061241878767,-0.05437586822782302
171,171,0.009168135943813039,-0.05437586822782302,0.012969661788530235,0.005246589716684156
172,172,0.010606034879917072,-0.05437586822782302,0.01876743497159614,0.015448851774530313
173,173,0.010347720745607233,-0.05437586822782302,0.015020258241909886,-0.033922697368421025
174,174,0.010347720745607233,-0.05437586822782302,0.011390909320620177,-0.06086401361991912
175,175,0.0024076381837680426,-0.06086401361991912,-0.0008686235456290672,0.008610922275096203
176,176,0.0024076381837680426,-0.06086401361991912,-0.0055767003980927154,0.06245787463491353
177,177,0.006928755995890179,-0.06086401361991912,0.0028214398824486543,0.07464580249524215
178,178,0.012029887024813259,-0.06086401361991912,0.010329151466887676,0.01101928374655652
179,179,0.009815103010826361,-0.06086401361991912,0.009834531837228329,-0.005838847800700745
180,180,0.006928755995890179,-0.06086401361991912,0.002242789762615896,-0.032302270947533254
181,181,0.006928755995890179,-0.06086401361991912,0.004450149490644871,-0.03075055634230231
182,182,0.001386037237197729,-0.06086401361991912,0.0008504348847462248,-0.05259862241703186
183,183,-0.018294702071501526,-0.06086401361991912,-0.00595431253440999,-0.024675038554747685
184,184,-0.015256943177724216,-0.06086401361991912,-0.0050295466530426575,0.022362773887508354
185,185,0.001386037237197729,-0.05259862241703186,0.0032931320977000926,0.03424657534246585
186,186,0.0025902179729278873,-0.05259862241703186,0.005856697404437056,0.016022217474898525
187,187,0.0025902179729278873,-0.05259862241703186,0.001213131688435554,-0.006307821698906734
188,188,-0.00607333474980374,-0.05259862241703186,-0.006882230730979333,-0.014176893779094257
189,189,-0.010242357739000495,-0.05259862241703186,-0.009401848483544412,0.020605280103026265
190,190,-0.010242357739000495,-0.05259862241703186,-0.006757435693171709,-0.03638275499474231
191,191,-0.010242357739000495,-0.05259862241703186,-0.007165484097892616,-0.010912265386294195
